ID,Name,Category,Intake,University,Status,Start_Date
AANF23,"FA24 Admit, No Deposit",Post Admission,AY2024,Illinois Institute of Technology,Completed,20-03-2024
DANE24,Call India ANF,Pre Admission,AY2024,Illinois Institute of Technology,Completed,28-04-2023
FA24AND,Call Other ANF,Post Admission,AY2024,Illinois Institute of Technology,Completed,16-05-2023
FA24SIC,"SP25 Deposit, No I-20",Post Admission,AY2024,Illinois Institute of Technology,Completed,22-10-2024
OANF23,SP25 New Inquiry,Pre Admission,AY2024,Illinois Institute of Technology,Completed,18-10-2024
SP25AI2S,Call Africa ANF,Pre Admission,AY2024,Illinois Institute of Technology,Completed,18-05-2023
SP25DN1,"Call Bangladesh, Pakistan, Nepal ANF",Pre Admission,AY2024,Illinois Institute of Technology,Completed,16-05-2023
SP25IP,"Call China, Taiwan, Korea ANF",Pre Admission,AY2024,Illinois Institute of Technology,Completed,16-05-2023
SP25NIQ,"Deposit and Advised, Not Enrolled",Post Admission,AY2024,Illinois Institute of Technology,Completed,17-07-2024
SP25SIC,"Deposit, Not Advised",Post Admission,AY2024,Illinois Institute of Technology,Completed,17-07-2024
